When and where is Next ’18?,Building on the success of last year Next ’18 is taking over the Moscone Center in San Francisco from July 24–26 2018. The Moscone Center is located at 748 Howard Street in San Francisco.
Who should attend Next?,Next ’18 is our global exhibition of inspiration innovation and education. It’s where developers and anyone passionate about an accessible scalable socially responsible cloud come together to share challenges solutions 10x ideas and game-changing technologies. In short: Everyone's invited.
What time does the conference start and end?,The first keynote starts at 9 AM on Tuesday and programming ends at 2:30 PM on Thursday. We highly recommend picking up your badge on Monday (anytime between 7 AM and 8 PM) or early on Tuesday to avoid lines.
How can I stay informed on the latest about Next ’18?,Be sure to check back here regularly for the latest on breakout sessions speakers and activities. You can also sign up to receive regular email updates. Follow Google Cloud on Twitter and Facebook and join in the social conversations with the official #GoogleNext18 hashtag.
Is there a Next ’18 mobile app?,Yes! The app is available now for iOS and Android. You can customize your schedule navigate the conference centers get important updates and more. Download now.
Where and when can I pick up my badge?,To expedite the check-in process we have badge pickup on Monday July 23 from 7 AM–8 PM at Moscone West Level 1 and 10 AM–8 PM at Moscone South Level 1. We highly recommend picking up your badge on Monday or early on Tuesday to avoid long check-in lines and get to the keynote on time. Bags will be searched by security so if possible leave your backpacks or large bags at your hotel or home to expedite your check in. Event check in will also be available Tuesday 7AM–6PM Wednesday 7AM–6PM and Thursday 7AM–3PM at Moscone South and West. 
Do I need to bring ID when I pick up my badge?,Government-issued forms of ID must be presented in order to pick up your Next ’18 event badge. In the weeks prior to the event all registered attendees will receive an onsite confirmation email and QR code that can be used to check in for the event. If you received an academic attendee rate or student access pass please bring proof of academic status such as a school-issued student ID card to pick up your badge.
What happens if I lose my badge?,Head back to the registration and onsite check-in desk and we can reprint a badge for you.
What do I use my badge for?,Security monitors badges at various checkpoints to ensure your safety that only registered attendees are participating in events. Badges are also used to swipe into sessions and other areas. You’ll need to swipe your badge before each session you attend so we can keep a running tally of available seats in the room. If seats are available five minutes before the session starts we’ll open up sessions to the standby line so make sure you’re in your seat and badged in before the session starts. You can also swipe your badge at sponsor booths to confirm that you visited the booth and pass along your information to them.
What’s the best way to get to the Moscone Center?,The Moscone Center is located right in the heart of San Francisco so it’s accessible by several forms of public transportation and of course ridesharing services like Lyft and Uber. You can check out our travel tools and tips here.
How can I find my way around the conference?,The Cloud Next app has locations for all of your sessions and conference events with searchable maps to help you quickly locate onsite services info desks keynote rooms and more. There will also be hundreds of brand ambassadors on site to help you find what you need as well as detailed maps and clear wayfinding signage.
What are the Event Conduct guidelines?,Google is dedicated to providing a harassment-free and inclusive event experience for everyone regardless of gender identity and expression sexual orientation disabilities neurodiversity physical appearance body size ethnicity nationality race age religion or other protected categories. We do not tolerate harassment of event participants in any form. Google takes violations of our policy seriously and will respond appropriately. For more information go to Google’s Event Community Guidelines and Anti-Harassment Policy.
Will there be Wi-Fi?,Yes. High speed Wi-Fi will be available for all attendees. In the Cloud Next app tap Menu > WiFi to be directly connected to the network.
What’s the food and drink situation?,Attendees are offered complimentary breakfast lunch and snacks on all three days of the conference. Food will also be available on Wednesday during the evening event.
What if I have special dietary needs or food allergies?,Lunch will include a wide selection of vegan vegetarian gluten-free and dairy-free options. If you need a kosher or halal meal please reach out to next18@google.com by June 16.
Will there be charging stations available?,Yes charging stations will be available throughout the conference center. At no cost to you you can grab a portable battery pack to charge your laptop or smartphone. Simply search "charging stations" in the Cloud Next app to find the one closest to you.
Will there be a bike bag or coat check available?,Yes coat/bag check is available at Moscone West and South lobbies: Tuesday 7 AM–6 PM Wednesday 7 AM–6 PM Thursday 7 AM–3 PM Bike check will be available during those same times in the Moscone West lobby. Whatever you check may be subject to security screening. If you come back after conference center has closed you can pick up your belongings the following morning.
Can you accommodate my accessibility needs?,Google strives to make events open and accessible to everyone regardless of disability or special needs. Participants with disabilities and/or special needs may provide details in the registration form and/or by emailing us at next18@google.com or at the help desk during the event. This information will be kept private and only provided to individuals who need to know to accommodate your request. All areas of the venue are wheelchair accessible. Additionally there will be a service dog relief area. We’ll provide live real-time transcription for keynotes; spotlight sessions; as well as livestream and post-event recordings.
What should I wear?,We don’t have a dress code and you can feel free to be comfortable and casual. The conference will take place across multiple buildings so we suggest you wear comfortable shoes. San Francisco weather can be colder than you might expect so you may want to pack both sunglasses and a warm jacket.
How are you working to keep the conference safe and secure?,Your safety at the conference is our top priority. You will likely see a strong security presence and there will also be many people working behind the scenes to help keep you safe. We’re prepared to respond to incidents in partnership with local state and federal authorities. Download and allow notifications on the Cloud Next app to help ensure you get emergency alerts and instructions. We’ll have metal detectors at the entrances to all Next ’18 activities so please anticipate and plan for long lines. All bags will be subject to search upon entering any conference site.
Are there any items I can’t bring to the conference?,Prohibited items within the event space and after hours event space include but are not limited to: Weapons; firearms; knives;items that can be mistaken as a weapon; Pets or animals except approved service animals; Personal mobility devices with or without a motor unless for ADA use; smoking; selfie sticks; laser pointers; Mace/pepper; stun guns; Sharp and/or pointed objects; flashlights; WiFi and/or Bluetooth signal disruptor; tripods; inflatable items; drones; outside alcohol; illegal substances; large bags backpacks or purses.
Will there be a lost and found?,Yes. Conference info desks will have all lost and found items and can be found at both Moscone Center West and South lobbies.
Where can I find help and information desks?,Registration help desks will be located in the lobby of Moscone West & South (located with the information desk). General information and assistance can be found at the information desks in the lobby of Moscone West & South (located with the registration help desk).
Where can I go if I’m having trouble with the Cloud Next app?,We’ll have technical support on hand to help you troubleshoot issues with the app.
Where can I pick up my Next ’18 t-shirt and water bottle?,After you’ve registered onsite you can pick up your t-shirt and water bottle at the Swag Store located in the lobby at Moscone West or at Registration Goodies located at Moscone South. Redemption will be open during registration hours Monday through Thursday.
Will there be childcare services available for parents?,We won’t have onsite childcare services but a limited number of reimbursements are available for USD $100 per day (not exceeding USD $300). Register in advance by contacting next18@google.com to secure your first-come first-served reimbursement. After you’ve been approved and your onsite attendance is confirmed we’ll email you instructions on how to get reimbursed within seven business days after the conference.
Will there be a mother’s room?,We will have mother’s rooms available at Moscone West Moscone South Hilton and Palace Hotel. Sign-up sheets will be available in front of the mother’s rooms and usage is first-come first-serve.
Will there be giveaways at Next?,Attendees will receive an attendee badge and may be offered additional gifts. If you aren’t sure whether the professional guidelines for your school university organization or agency would allow you to accept these items please check with your local ethics officer in advance. The food and gifts available at Next ’18 are optional so it may be possible to attend the event even if you cannot accept any giveaways. By registering for Next and accepting any discounts gifts or items of value related to Next you certify that you are able to do so in compliance with applicable laws and your organization's code of conduct.
What can I expect at the Next Fairgrounds event?,The Next Fairgrounds adult carnival will have nostalgic amusement park rides and international food reminiscent of a world’s fair to an arcade with the best of the best 80’s and 90’s games. To top the evening off don’t miss a live performance by The Chainsmokers the GRAMMY-award-winning electronic dance music -pop duo famous for their multi-platinum hit “Closer.”  The evening will also feature a DJ set by Spinderella and the entertainment will begin with a live performance from hometown favorites Jazz Mafia.
When and where is the event happening?,Wednesday July 25 from 7–10 PM at Lot A by AT&T Park.
What do I need to bring to get in?,Your attendee event badge will act as the credential for the event. Please remember to bring it before you board the shuttles.
How do I get to and from the event?,Shuttles to the event will depart every 15 minutes from designated shuttle pick-up locations between 6–8:30 PM. Return transportation from Lot A back to hotels will begin at 9 PM and run until 10:30 PM.
What’s the pick-up shuttle schedule?,Time: 6–8:30 PM Hotel Shuttle Pick-up Locations Green Shuttle Hilton Union Square Blue Shuttle Marriott Marquis Yellow Shuttle Fairmont Hotel 
What’s the return shuttle schedule?,From  9–10:30 PM the Green Shuttle Stop will stop at Parc 55; Hilton Union Square; and Westin St. Francis; the Blue Shuttle will stop at Palace Hotel; Marriott Marquis and InterContinental; the Yellow Shuttle will stop at Hyatt Regency and the Fairmont.
Where can I find details about the breakout sessions?,Our packed lineup of sessions and speakers is continually updated so check back often.
When can I schedule my sessions?,The session scheduler is now live. Sign in with the Next ’18 account you created when you registered to reserve seats and personalize your calendar. You can also reserve and drop sessions on the go with the mobile app.
What are my options if a session I want to attend is full?,Standby will be available for most sessions. Line up before the session starts and if there are available seats you’ll be able to join.
Can I give feedback on individual sessions?,Yes. After each session you attend the Cloud Next app will prompt you to answer a few brief questions about your experience.
Why do I need to badge in to my sessions?,Badging in helps us keep track of how many people are in the room. Attendees who have a reserved seats will have priority access to the session. If there are additional seats available five minutes before the session starts we’ll open up the room to the standby line. If you’ve reserved a seat for a session you need to badge in at least five minutes before the session starts to be guaranteed a seat.
What is the process for getting into the keynotes?,For the Tuesday keynote access will be determined by when you pick up your badge. Pick up your badge on Monday to increase your chances and access will be noted on your badge. For the Wednesday and Thursday keynotes access will be on a first-come first-served basis. Arrive early to increase your chances and keep checking your Cloud Next app for updates about lines and alternate viewing rooms.
What are the main topics that will be covered at the conference?,Next ‘18 will feature multiple breakout sessions across these themes: Application Development; Collaboration & Productivity; Data Analytics; Infrastructure & Operations; IoT; Machine Learning & Artificial Intelligence; Mobility & Devices; Security
What are Google’s AI principles?,Glad you asked. We recognize that such powerful technology raises equally powerful questions about its use. How AI is developed and used will have a significant impact on society for many years to come. As a leader in AI we feel a deep responsibility to get this right. So we announced seven principles to guide our work going forward. These are not theoretical concepts; they are concrete standards that will actively govern our research and product development and will impact our business decisions.
How do I book an office hours appointment?,You can book a 1-on-1 appointment with a Googler here or right in the Cloud Next app. Simple tap Menu > Book 1:1 Expert Meeting.
How should I prepare for my office hours appointment?,All you need is your question or topic — you get to drive the conversation. Make sure to arrive 10 minutes early so you can find your expert and make the most of your 30 minutes. We’ll have pen and paper on hand.
What other learning opportunities will there be at Next ’18?,The conference will be filled with programming ranging from the technical to the future-focused at all learning levels. Get more info on keynotes opportunities to schedule 1:1 meetings with Google experts hands-on labs fireside chats and more here.
What identification do I need to bring to my certification exam?,If you’re planning to get Google Cloud Certified you will need to bring two pieces of identification and your Test Taker Authorization Code. Acceptable forms of primary identification must be issued by the Government and include your name photograph and signature. primary identification examples include: Driver’s License; National/State/Country/Military Identification Cards; and Passports. Secondary identification examples include: U.S. Social Security; credit/debit; and school ID cards email google-cloud-certification-support@google.com with any questions.
What do I need to bring to my bootcamp session?,Our bootcamp courses all include a practical hands-on labs component. To fully participate bring your laptop power cord and dongles to ensure you have connectivity for the duration of the course.
I'm already registered for Next ’18. Can I also sign up for Cloud Hero?,Yes. Cloud Hero is an experience that takes place within Next '18. There’s limited space for this in-person event so don't wait to reserve your seat.
Does my registration in Next ’18 already include participation in the CloudHero Challenge?,No. Signing up for Cloud Hero is independent of registration to Next ’18. There is no additional charge for Cloud Hero.
Can I sign up for Cloud Hero even if I have not registered for Next ’18?,No. Cloud Hero is one of the sessions at Next ’18. You must register for Next ’18 in order to participate.
Do I need my laptop to participate in Cloud Hero?,Yes you must have a charged laptop to play Cloud Hero! Cloud Hero is currently not supported on tablets or smartphones. Miminum laptop requirements are the following: dual-core processor 4 GB of RAM and a recent version of Chrome or Firefox.
Where will Cloud Hero take place?,Cloud Hero will take place at the City View Metreon Center across the street from the Moscone Center.
